accent,text,old_id,new_id,status,corr,recheck
uk,*hungry,ra-g8u24e1797,t96844fd2220246a0,same,1.0,
uk,*ill,ra-g8u23e1725,t8c58fb0d50da1258,same,1.0,
uk,*internet,ra-g8u19e1457,tff7ed20eaeb34d71,same,1.0,
uk,*lion,ra-g8u23e1727,ta9ed80ed9f172995,same,1.0,
uk,*mouse,ra-g8u24e1784,t6150d702fcd3d63b,same,1.0,
uk,*mouth,ra-g8u21e1665,te6a4cb0987900a30,same,1.0,
uk,*ms,ra-g8u23e1748,t8318b6f101c46c8d,MISMATCH,0.1884,0.084
uk,*nose,ra-g8u21e1664,tde197fecb21042ba,same,1.0,
uk,*november,ra-g8u21e1647,t9f26a58d8347505f,same,1.0,
uk,*pen,ra-g8u19e1472,t42a8e489933dd5ea,same,1.0,
uk,*sheep,ra-g8u20e1555,t1229f2516001dffa,same,1.0,
uk,*soup,ra-g8u24e1805,t439ca535d7a91d9a,same,1.0,
uk,*umbrella,ra-g8u21e1623,t50f65899332275b7,same,1.0,
uk,3-d,,td9d2f9985a562aee,old_missing,0.0,
uk,a,kb0001,t40f89e395b66422f,same,0.9974,
uk,a bit,n00001,t0a251fe813e21973,MISMATCH,0.1478,0.103
uk,a bottle of,wy-g8u10e1043,ta8247c3d93af3491,same,1.0,
uk,a box of,n00002,tcc044d71d1d0d45f,MISMATCH,0.0732,0.1024
uk,a box of crayons,g5u4e4084,t260ef103ab83d9ae,same,1.0,
uk,a dream of red mansions,n00003,t23d1635fffc3e2b2,MISMATCH,0.1641,0.0297
uk,a few,ra-g7u14e0184,tc364b010554653dd,same,0.9967,
uk,a good read,n00004,taea49a5b0ca850c6,same,1.0,
uk,a great deal,wy-g8u5e1975,t36e541248cca4a9e,same,1.0,
uk,a great number of,ra-g9u31e2098,t991df78470a0572f,same,1.0,
uk,a lot,ra-g7u7e0091,t9e67fe2ee69342d3,MISMATCH,0.8824,0.137
uk,a lot of,n00005,t7cb3358268cabbe5,MISMATCH,0.0331,0.093
uk,a lot of / lots of,n00006,t1750f3448987eee5,MISMATCH,0.1167,0.0595
uk,a number of,wy-g7u10e1646,t24517f2a8639dbef,same,1.0,
uk,a pair of scissors,g5u4e4082,td47bebf4760335a9,same,1.0,
uk,a piece of cake,wy-g8u6e2033,t49f73c1c1f41960f,same,1.0,
uk,a.d.,ra-g9u33e2247,t7f7333e4f14cf003,MISMATCH,0.1486,0.0928
uk,a.m.,kb0002,tc5fbfe7294b50d23,MISMATCH,0.8255,0.1136
uk,abc,g3u5e4929,td8bb14d833d59559,MISMATCH,0.076,0.0976
uk,ability,g9u1e0582,t7b2fe2c4bc33a583,same,0.9975,
uk,able,kb0003,tf5de616aebd5c31d,same,0.9989,
uk,about,g3u13e4084,t7d0f151729e424b7,same,1.0,
uk,above,kb0005,t3d903b966bed09ad,MISMATCH,0.1476,0.0983
uk,abroad,ox-g5u8e0474,t95edd542358f0f54,same,0.9114,
uk,absent,kb0006,t574c269caef4c1cd,same,0.9568,
uk,absent from,n00007,t78c4dc09e051de02,MISMATCH,0.1584,0.0735
uk,accent,ra-g9u28e1990,tb42eafc87879fad8,same,1.0,
uk,accept,g8u9e0546,t788d994a389856b8,same,0.9013,
uk,accident,wy-g8u7e0781,t06e76ab275ab92df,same,0.9868,
uk,accidental,n00008,t997d81b1e02b8281,MISMATCH,0.0763,0.0874
uk,according,n00009,t49d405afba1a5acf,MISMATCH,0.4665,0.1402
uk,according to,kb0007,tdf0588d8e6afaf28,MISMATCH,0.1239,0.0578
uk,accordion,n00010,tfd28359c321e7c71,MISMATCH,0.3868,0.1052
uk,account,kb0008,tedb8d29502e33c45,same,0.9909,
uk,ache,kb0009,te2cb541cbbc7406b,same,0.973,
uk,achieve,kb0010,tdce1d5dd7000d87a,same,0.9863,
uk,achievement,ox-g9u10e0934,t9e3869994794f918,MISMATCH,0.8752,0.0175
uk,across,kb0011,t677ce0a2cef96ee2,MISMATCH,0.6284,0.0718
uk,across from,n00011,t20042312d487bfa0,MISMATCH,0.1127,0.0779
uk,act,kb0012,te0d981355efba4ba,MISMATCH,0.8682,0.0596
uk,act out,n00012,t6316360138a95890,MISMATCH,0.1944,0.0719
uk,action,kb0013,t2ff47132df521d5a,MISMATCH,0.788,0.0622
uk,active,g6u10e0333,tcf4a65c2cca3cd62,same,0.9892,
uk,activity,ox-g7u11e0701,t383147afb344d22d,same,0.9653,
uk,actor,g8u6e0512,t04bda63702e8c424,same,0.9902,
uk,actress,kb0014,t3e2aded21f2280b8,same,0.971,
uk,actual,ra-g8u23e1751,tb8daf64a9e619d94,same,1.0,
uk,actually,kb0015,t222fe605d86af22d,same,0.9901,
uk,ad,kb0016,te683bbc28186cb9c,same,0.9584,
uk,adam,n00013,t1fb528f858210ffd,MISMATCH,0.0875,0.1745
uk,add,n00014,t3e2a0a887a17047d,MISMATCH,0.3312,0.0935
uk,add sth to sth,n00015,t8c55a071663b0175,MISMATCH,0.067,0.0688
uk,address,g9u3e0604,te2a5f953b067bb45,same,0.9797,
uk,admire,kb0017,t821f79605bd140a4,same,0.9468,
uk,adult,kb0018,tb8ffe365fd87fc74,MISMATCH,0.1837,0.0716
uk,advance,ra-g9u35e2295,td0262489621613de,same,1.0,
uk,advantage,kb0019,t19b72f7e8b0ece59,same,0.9971,
uk,adventure,ox-g9u1e0841,tc68f7defd4b56bbd,same,0.9176,
uk,advertisement,kb0020,t64e04316cb5071cb,MISMATCH,0.8566,0.1136
uk,advice,g8u10e0554,t7a36f9590c560328,MISMATCH,0.6407,0.0766
uk,advise,kb0021,tdf65f517fde8ff54,same,0.9068,
uk,aerospace,ra-g9u32e2172,tc49bb6d0f01d19c9,same,1.0,
uk,affect,ra-g8u15e0510,td98bdd68b5287dca,MISMATCH,0.8787,0.077
uk,afford,kb0022,tb5c7f111e619858d,same,0.9983,
uk,afraid,g6u6e0294,tab9dda23375ae352,same,0.9967,
uk,africa,n00016,t77d87db9e5b123d2,MISMATCH,0.125,0.1406
uk,african,n00017,t0dca9d32ca0cd186,MISMATCH,0.0939,0.2306
uk,after,kb0023,t24042d77010047f3,same,0.9986,
uk,after all,n00018,t50972b0fac2731c2,MISMATCH,0.0523,0.0687
uk,after you!,n00019,tccca404b31e7742e,MISMATCH,0.2718,0.1335
uk,afternoon,g3u2e3921,td5fa5028f8c25d5a,same,1.0,
uk,afternoon tea,wy-g3u10e0514,t35ba9856fbf32b54,same,1.0,
uk,afterschool,g3u9e4015,tafaae536842cc300,same,1.0,
uk,aftershock,ra-g8u21e1639,tdb607fb8d0ca4daf,same,1.0,
uk,again,g3u13e4085,t8e448ecbd62781c3,same,1.0,
uk,against,kb0025,t53d0b4241161fa8b,same,0.9882,
uk,against the law,wy-g7u4e1354,t8180081d193d7b32,same,1.0,
uk,age,g3u1e3904,tdbe7195fbcf8af7e,same,1.0,
uk,ago,g6u10e0331,tade2145ceac74915,same,0.9788,
uk,agree,kb0026,t01158c53d3b8976b,same,0.9267,
uk,agree with,n00020,tc264d6192a89d428,MISMATCH,0.1899,0.042
uk,agreement,n00021,t65a92bfb7d22dafe,MISMATCH,0.36,0.0395
uk,agricultural,ra-g9u30e2061,t23225392ee2ccd67,same,1.0,
uk,ah,n00022,tba0da74b41647ca2,MISMATCH,0.1498,0.1236
uk,aha,wy-g5u11e1091,t34b446d5d40e4b73,same,1.0,
uk,ahead,kb0027,t252931e4d9cb1a4f,same,0.9496,
