accent,text,old_id,new_id,status,corr,recheck
us,*hungry,ra-g8u24e1797,t96844fd2220246a0,same,1.0,
us,*ill,ra-g8u23e1725,t8c58fb0d50da1258,same,1.0,
us,*internet,ra-g8u19e1457,tff7ed20eaeb34d71,same,1.0,
us,*lion,ra-g8u23e1727,ta9ed80ed9f172995,same,1.0,
us,*mouse,ra-g8u24e1784,t6150d702fcd3d63b,same,1.0,
us,*mouth,ra-g8u21e1665,te6a4cb0987900a30,same,1.0,
us,*ms,ra-g8u23e1748,t8318b6f101c46c8d,same,1.0,
us,*nose,ra-g8u21e1664,tde197fecb21042ba,same,1.0,
us,*november,ra-g8u21e1647,t9f26a58d8347505f,same,1.0,
us,*pen,ra-g8u19e1472,t42a8e489933dd5ea,same,1.0,
us,*sheep,ra-g8u20e1555,t1229f2516001dffa,same,1.0,
us,*soup,ra-g8u24e1805,t439ca535d7a91d9a,same,1.0,
us,*umbrella,ra-g8u21e1623,t50f65899332275b7,same,1.0,
us,3-d,wy-g8u3e1896,td9d2f9985a562aee,same,1.0,
us,a,kb0001,t40f89e395b66422f,same,0.9991,
us,a bit,n00001,t0a251fe813e21973,MISMATCH,0.1114,0.1325
us,a bottle of,wy-g8u10e1043,ta8247c3d93af3491,MISMATCH,0.0731,0.0615
us,a box of,n00002,tcc044d71d1d0d45f,MISMATCH,0.3525,0.0776
us,a box of crayons,g5u4e4084,t260ef103ab83d9ae,same,1.0,
us,a dream of red mansions,n00003,t23d1635fffc3e2b2,MISMATCH,0.0732,0.0608
us,a few,ra-g7u14e0184,tc364b010554653dd,same,0.9974,
us,a few students are running around the playground.,ra-g7u14e0185,ra-g7u14e0185,same,1.0,
us,a good read,n00004,taea49a5b0ca850c6,MISMATCH,0.1438,0.0497
us,a great deal,wy-g8u5e0792,t36e541248cca4a9e,MISMATCH,0.178,0.0765
us,a great number of,ra-g9u31e2098,t991df78470a0572f,same,1.0,
us,a lot,ra-g7u7e0091,t9e67fe2ee69342d3,same,0.9985,
us,a lot of,n00005,t7cb3358268cabbe5,MISMATCH,0.0823,0.0778
us,a lot of / lots of,n00006,t1750f3448987eee5,MISMATCH,0.0285,0.09
us,a number of,wy-g7u10e0463,t24517f2a8639dbef,MISMATCH,0.167,0.1006
us,a pair of,g7u7e0408,g7u7e0408,same,1.0,
us,a pair of scissors,g5u4e4082,td47bebf4760335a9,same,1.0,
us,a photo of,ra-g7u6e0078,ra-g7u6e0078,same,1.0,
us,a piece of cake,wy-g8u6e0850,t49f73c1c1f41960f,MISMATCH,0.0682,0.0563
us,a.d.,ra-g9u33e2247,t7f7333e4f14cf003,MISMATCH,0.1756,0.1612
us,a.m.,kb0002,tc5fbfe7294b50d23,same,0.9982,
us,abc,g3u5e4929,td8bb14d833d59559,MISMATCH,0.0609,0.0899
us,ability,g9u1e0582,t7b2fe2c4bc33a583,same,0.9988,
us,able,kb0003,tf5de616aebd5c31d,same,0.9993,
us,about,g3u13e4084,t7d0f151729e424b7,same,1.0,
us,above,kb0005,t3d903b966bed09ad,same,0.989,
us,abroad,ox-g5u8e0474,t95edd542358f0f54,same,0.9991,
us,absent,kb0006,t574c269caef4c1cd,same,0.9843,
us,absent from,n00007,t78c4dc09e051de02,MISMATCH,0.1476,0.0701
us,accent,ra-g9u28e1990,tb42eafc87879fad8,same,1.0,
us,accept,g8u9e0546,t788d994a389856b8,same,0.9846,
us,accident,wy-g8u7e0781,t06e76ab275ab92df,MISMATCH,0.8045,0.1287
us,accidental,n00008,t997d81b1e02b8281,MISMATCH,0.1423,0.0712
us,accommodation,ox-g8u12e0838,ox-g8u12e0838,same,1.0,
us,according,n00009,t49d405afba1a5acf,MISMATCH,0.1717,0.0776
us,according to,kb0007,tdf0588d8e6afaf28,same,0.9931,
us,accordion,n00010,tfd28359c321e7c71,MISMATCH,0.0513,0.0825
us,account,kb0008,tedb8d29502e33c45,same,0.9968,
us,ache,kb0009,te2cb541cbbc7406b,same,0.9935,
us,achieve,kb0010,tdce1d5dd7000d87a,same,0.9941,
us,achievement,ox-g9u10e0934,t9e3869994794f918,same,0.9978,
us,across,kb0011,t677ce0a2cef96ee2,MISMATCH,0.8783,0.1139
us,across from,n00011,t20042312d487bfa0,MISMATCH,0.0971,0.0712
us,act,kb0012,te0d981355efba4ba,same,0.9624,
us,act out,n00012,t6316360138a95890,MISMATCH,0.1569,0.0628
us,action,kb0013,t2ff47132df521d5a,MISMATCH,0.0844,0.0974
us,active,g6u10e0333,tcf4a65c2cca3cd62,same,0.9969,
us,activity,ox-g7u11e0701,t383147afb344d22d,same,0.9654,
us,actor,g8u6e0512,t04bda63702e8c424,MISMATCH,0.0518,0.0932
us,actress,kb0014,t3e2aded21f2280b8,MISMATCH,0.8038,0.1218
us,actual,ra-g8u23e1751,tb8daf64a9e619d94,same,1.0,
us,actually,kb0015,t222fe605d86af22d,same,0.9755,
us,ad,kb0016,te683bbc28186cb9c,same,0.9309,
us,adam,n00013,t1fb528f858210ffd,MISMATCH,0.127,0.1158
us,add,n00014,t3e2a0a887a17047d,MISMATCH,0.1038,0.0726
us,add sth to sth,n00015,t8c55a071663b0175,MISMATCH,0.0737,0.0485
us,address,g9u3e0604,te2a5f953b067bb45,MISMATCH,0.8703,0.1256
us,admire,kb0017,t821f79605bd140a4,same,0.9993,
us,adult,kb0018,tb8ffe365fd87fc74,same,0.9984,
us,advance,ra-g9u35e2295,td0262489621613de,same,1.0,
us,advantage,kb0019,t19b72f7e8b0ece59,same,0.9834,
us,adventure,ox-g9u1e0841,tc68f7defd4b56bbd,same,0.9861,
us,advertisement,kb0020,t64e04316cb5071cb,same,0.9762,
us,advice,g8u10e0554,t7a36f9590c560328,MISMATCH,0.7989,0.1094
us,advise,kb0021,tdf65f517fde8ff54,same,0.9358,
us,aerospace,ra-g9u32e2172,tc49bb6d0f01d19c9,same,1.0,
us,affect,ra-g8u15e0510,td98bdd68b5287dca,same,0.9797,
us,afford,kb0022,tb5c7f111e619858d,same,0.9995,
